Sentence,BIO Tags
"Sexual dimorphism is quite pronounced – in most species males tend to be larger than females, and, except for the reindeer, only males have antlers",O O O O O O O O O O O O O O O O O O O O O O O O O
"The teeth of deer are adapted to feeding on vegetation, and like other ruminants, they lack upper incisors, instead having a tough pad at the front of their upper jaw",O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O
All deer have a liver without a gallbladder,O B-ANIMAL O O O O O O
"A male rabbit is called a buck, as are male goats and deer, derived from the Old English bucca or bucc, meaning ""he-goat"" or ""male deer"", respectively",O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O
The structure of the rabbit's nasal and oral cavities necessitates breathing through the nose,O O O O B-ANIMAL O O O O O O O O O
"Rabbits in the Americas varied in mythological symbolism: in Aztec mythology, they were also associated with the moon, and in Anishinaabe traditional beliefs, held by the Ojibwe and some other Native American peoples, Nanabozho, or Great Rabbit, is an important deity related to the creation of the world",B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O
"In addition to their meat, domestic rabbits are used for their wool and fur for clothing, as well as their nitrogen-rich manure and their high-protein milk",O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O
"As the rabbit breathes, air flows in through the nostrils along the alar folds",O O B-ANIMAL O O O O O O O O O O O
This kind of kangaroo lives in the upper branches of trees,O O O B-ANIMAL O O O O O O O
"The thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct",O O O O O O O O O O O O O O O B-ANIMAL O O O
Only two reliably documented cases of a fatality from a kangaroo attack have occurred in Australia,O O O O O O O O O O B-ANIMAL O O O O O
"Studies of kangaroos and wallabies have demonstrated, beyond the minimum energy expenditure required to hop at all, increased speed requires very little extra effort (much less than the same speed increase in, say, a horse, dog or human), and the extra energy is required to carry extra weight",O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"It is considered halal according to Muslim dietary standards, because kangaroos are herbivorous",O O O O O O O O O O B-ANIMAL O O
Little panda: The World Welcomes Hua Mei at the San Diego Zoo,O B-ANIMAL O O O O O O O O O O
"Panda semen, which can be frozen for decades, could be shared between different zoos to save the species",B-ANIMAL O O O O O O O O O O O O O O O O O
"The giant panda (Ailuropoda melanoleuca), also known as the panda bear or simply panda, is a bear species endemic to China",O O B-ANIMAL O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O
"This lower metabolic rate and a more sedentary lifestyle allows the giant panda to subsist on nutrient poor resources such as bamboo."" The giant panda's round face is the result of powerful jaw muscles, which attach from the top of the head to the jaw",O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O
"In hostile confrontations or during fights, the giant panda emits vocalizations such as a roar or growl",O O O O O O O O B-ANIMAL O O O O O O O O
Leopards have been observed walking 1–25 km (0.62–15.53 mi) across their range at night; wandering up to 75 km (47 mi) if disturbed,B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O
"As of 2020, the leopard population within forested habitats in India's tiger range landscapes was estimated at 12,172 to 13,535 individuals",O O O O B-ANIMAL O O O O O O O O O O O O O O O O
Leopard fossils were also found in Taiwan,B-ANIMAL O O O O O O
"Leopards were formerly present across Europe, but became extinct in the region at around the end of the Late Pleistocene-early Holocene",B-ANIMAL O O O O O O O O O O O O O O O O O O O O
"Leopards also kill smaller carnivores like black-backed jackal, bat-eared fox, genet and cheetah",B-ANIMAL O O O O O O O O O O O O
"The earliest known depictions of the cheetah are from the Chauvet Cave in France, dating back to 32,000–26,000 BC",O O O O O O B-ANIMAL O O O O O O O O O O O O
The cheetah was first described in the late 18th century,O B-ANIMAL O O O O O O O O
"The Bill Thomas Cheetah American racing car, a Chevrolet-based coupe first designed and driven in 1963, was an attempt to challenge Carroll Shelby's Shelby Cobra in American sports car competition of the 1960s",O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Growls, hisses and moans are accompanied by multiple, strong hits on the ground with the front paw, during which the cheetah may retreat by a few metres",O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O
"Listed below are some commonly recorded vocalisations observed in cheetahs: Chirping: A chirp (or a ""stutter-bark"") is an intense bird-like call and lasts less than a second",O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O
"The giraffe also has a high tidal volume, so the balance of dead space and tidal volume is much the same as other mammals",O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O
Community-based conservation efforts outside national parks are also effective at protecting giraffes and their habitats,O O O O O O O O O O O B-ANIMAL O O O
Reproduction and parental care Reproduction in giraffes is broadly polygamous: a few older males mate with the fertile females,O O O O O O B-ANIMAL O O O O O O O O O O O O
There are several hypotheses regarding the evolutionary origin and maintenance of elongation in giraffe necks,O O O O O O O O O O O O O B-ANIMAL O
"Social life Giraffes usually form groups that vary in size and composition according to ecological, anthropogenic, temporal, and social factors",O O B-ANIMAL O O O O O O O O O O O O O O O O O
"They suggested that stripes may give zebras an advantage in woodlands, as the dark stripes could line up with the outlines of tree branches and other vegetation",O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O
"In Grévy's zebras, young stay in ""kindergartens"" when their mothers leave for water",O O B-ANIMAL O O O O O O O O O O
"Reproduction and parenting Among plains and mountain zebras, the adult females mate only with their harem stallion, while in Grévy's zebras, mating is more polygynandrous and the males have larger testes for sperm competition",O O O O O O O B-ANIMAL O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O
"The International Union for Conservation of Nature (IUCN) lists Grévy's zebra as endangered, the mountain zebra as vulnerable and the plains zebra as near-threatened",O O O O O O O O O O B-ANIMAL O O O O B-ANIMAL O O O O O B-ANIMAL O O
"Albino zebras have been recorded in the forests of Mount Kenya, with the dark stripes being blonde",O B-ANIMAL O O O O O O O O O O O O O O O
The oldest records of the genus Hippopotamus date to the Pliocene (5.3–2.6 million years ago),O O O O O O B-ANIMAL O O O O O O O O
"Etymology The Latin word hippopotamus is derived from the ancient Greek ἱπποπόταμος (hippopótamos), from ἵππος (híppos) 'horse' and ποταμός (potamós) 'river', together meaning 'horse of the river'",O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O
Characteristics The hippopotamus is a megaherbivore and is exceeded in size among land animals only by elephants and some rhinoceros species,O O B-ANIMAL O O O O O O O O O O O O O O O O O O
"The parasitic monogenean flatworm Oculotrema hippopotami infests hippopotamus eyes, mainly the nictitating membrane",O O O O O B-ANIMAL O B-ANIMAL O O O O O
"Distribution and status Hippopotamus amphibius arrived in Europe around 560–460,000 years ago, during the Middle Pleistocene",O O O B-ANIMAL O O O O O O O O O O O O
"The mythical rhinoceros has a special name in Malay, badak api, wherein badak means rhinoceros, and api means fire",O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O O
"Indian The Indian rhinoceros, or greater one-horned rhinoceros, (Rhinoceros unicornis) has a single horn 20 to 60 cm long",O O O B-ANIMAL O O O B-ANIMAL B-ANIMAL O O O O O O O O O O
Juvenile one-horned rhinoceroses are rejected by their mothers around the time of the birth of her next calf,O O B-ANIMAL O O O O O O O O O O O O O O O
"Up until they are around three years old, juvenile rhinoceroses are vulnerable to predation",O O O O O O O O O B-ANIMAL O O O O
The white rhinoceros also has a prominent muscular hump that supports its relatively large head,O O B-ANIMAL O O O O O O O O O O O O
"In Yellowstone National Park, bison browsed willows and cottonwoods, not only in the winter when few other plants are available, but also in the summer",O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O
Several pet food companies use bison as a red meat alternative in dog foods,O O O O O B-ANIMAL O O O O O O O O
"Beefalo have been advertised as a hybrid breed between bison and cattle, but many beefalo, including the original pedigree founding herd of the breed, have no detectable bison ancestry",O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O B-ANIMAL O
"These genetically pure animals account for only ~5% of the currently extant American bison population, reflecting the loss of most of the species' genetic diversity",O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O
"Restrictions Throughout most of their historical range, landowners have sought restrictions on free-ranging bison",O O O O O O O O O O O O O B-ANIMAL
"Buffalo most commonly refers to: True buffalo or Bubalina, a subtribe of wild cattle, including most ""Old World"" buffalo, such as water buffalo Bison, a genus of wild cattle, including the American buffalo Buffalo, New York, a city in the northeastern United States Buffalo or buffaloes may also refer to: Animals Bubalina, a subtribe of the tribe Bovini within the subfamily Bovinae African buffalo or Cape Buffalo (Syncerus caffer) Bubalus, a genus of bovines including various water buffalo species Wild water buffalo (Bubalus arnee) Water buffalo (Bubalus bubalis) Buffalo meat, the meat of the water buffalo Italian Mediterranean buffalo, a breed of water buffalo Anoa Tamaraw (Bubalus mindorensis) Bubalus murrensis, an extinct species of water buffalo that occupied riverine habitats in Europe in the Pleistocene Bison, large, even-toed ungulates in the genus Bison within the subfamily Bovinae American bison (Bison bison), also commonly referred to as the American buffalo or simply ""buffalo"" in North America European bison is also known as the European buffalo Ictiobus, a North American genus of fish, known as buffalos Places Canada Buffalo, Alberta, a ghost town Buffalo National Park, Alberta Rural Municipality of Buffalo No",B-ANIMAL O O O O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O O O B-ANIMAL B-ANIMAL O O O O O O O O O B-ANIMAL O B-ANIMAL O O O O O O O O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O B-ANIMAL O O B-ANIMAL O O O O O O B-ANIMAL O O B-ANIMAL O O O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O B-ANIMAL O O O O O O B-ANIMAL O
"409, Saskatchewan, a rural municipality Province of Buffalo, a proposed Canadian province United States Buffalo, New York, the largest city by population with its name Buffalo Niagara International Airport Buffalo, Illinois Buffalo, Indiana Buffalo, Iowa Buffalo, Kansas Buffalo, Kentucky Buffalo, Minnesota Buffalo, Missouri Buffalo, Montana Buffalo, Nebraska Buffalo, North Carolina Buffalo, North Dakota Buffalo, Guernsey County, Ohio Buffalo, Jackson County, Ohio Buffalo, Oklahoma Buffalo, South Carolina Buffalo, South Dakota Buffalo, Tennessee (disambiguation) Buffalo, Texas Buffalo, Henderson County, Texas Buffalo, West Virginia Buffalo, Jackson County, West Virginia Buffalo, Buffalo County, Wisconsin Buffalo, Marquette County, Wisconsin Buffalo, Wyoming Buffalo City, Arkansas, an unincorporated community and census-designated place Buffalo City, North Carolina, a town Buffalo City, Wisconsin, a city Buffalo County (disambiguation) Buffalo Township (disambiguation) Elsewhere Buffalo, Victoria, Australia Buffalo City Metropolitan Municipality, Eastern Cape Province, South Africa Coins American Buffalo (coin), a 24-karat bullion coin introduced 2006 Buffalo nickel, a copper-nickel coin minted 1913–1938 Games Buffalo (card game), a card game Buffalo (game), a drinking game Military HMS Buffalo, several Royal Navy ships USS Buffalo, several U.S",O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O B-ANIMAL O O B-ANIMAL O O B-ANIMAL O O O B-ANIMAL O O O B-ANIMAL O B-ANIMAL O O B-ANIMAL O O B-ANIMAL O O B-ANIMAL O B-ANIMAL O O O B-ANIMAL O O B-ANIMAL O O O O B-ANIMAL B-ANIMAL O O B-ANIMAL O O O B-ANIMAL O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O B-ANIMAL O O O O B-ANIMAL O O B-ANIMAL O O O B-ANIMAL O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O B-ANIMAL O O
"Gent, a Belgian association football team South Africa national Australian rules football team, nicknamed the Buffaloes Hockey Buffalo Sabres, a National Hockey League team Basingstoke Buffalo, an English ice hockey team Calgary Buffaloes, a 1966–67 Western Canada Junior Hockey League team Calgary Buffaloes (AJHL), a 1963–1966 Alberta Junior Hockey League team Other uses in sport Colorado Buffaloes, the athletic teams of the University of Colorado Boulder Manitoba Buffalo, a Canadian rugby union team Milligan College Buffaloes, the athletic teams for Milligan College Vélodrome Buffalo and Stade Buffalo, cycling tracks in Paris Buffalo Bulls, the athletic teams of the University at Buffalo Technology Buffalo Inc., a Japanese technology company Buffalo AirStation, a line of wireless LAN equipment Buffalo network-attached storage series BUFFALO, the bootloader for the Freescale 68HC11 microcontroller family Transportation Air Buffalo Airways, a Canadian airline de Havilland Canada DHC-5 Buffalo, a 1965–1972 Canadian turboprop aircraft Land Buffalo (1901 automobile), a 1900–1902 American car Buffalo Electric Vehicle Company, a 1912–1915 American car company GM Buffalo bus South Devon Railway Buffalo class, a class of locomotives GWR 1076 Class, a class of locomotives often referred to as the ""Buffalo Class"" Other uses Buffalo (footwear), a clothing brand Royal Antediluvian Order of Buffaloes, a fraternal organisation Pistol-whipping, or ""buffaloing"", using a handgun as a blunt weapon See also All pages with titles containing Buffalo All pages with titles beginning with Buffalo American buffalo (disambiguation) Buffalo Bill, American scout, bison hunter, and showman William Cody (1846–1917) Buffalo robe, a cured bison hide with the hair, used for saddles, blankets, and padding in carriages and sleighs Buffalo coat, a heavy winter coat made from a buffalo robe or hide Buffalo wing, a style of chicken wing prepared with a spicy sauce coating Buffalo Exchange, a fashion retailer Buffalo Gap (disambiguation) Buffalo Trace (disambiguation) New Buffalo (disambiguation) Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo, a sentence illustrating homonyms and homophones Bufalo (disambiguation)",O O O O O O O O O O O O O O O B-ANIMAL O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O B-ANIMAL O O O O B-ANIMAL O O O O O O O O B-ANIMAL O B-ANIMAL O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O O O O B-ANIMAL O O O O B-ANIMAL O O O O O O O O O O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O B-ANIMAL O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O O O O O O B-ANIMAL O O O O B-ANIMAL O O B-ANIMAL O O O B-ANIMAL O B-ANIMAL B-ANIMAL B-ANIMAL B-ANIMAL B-ANIMAL B-ANIMAL B-ANIMAL B-ANIMAL O O O O O O O O
"Navy ships Landing Vehicle Tracked, a World War II-era amphibious vehicle Operation Buffalo (disambiguation) Avro 571 Buffalo, a 1920s prototype British carrier-based torpedo bomber biplane Brewster F2A Buffalo, a 1930s–1940s American fighter aircraft Buffalo (mine protected vehicle) Music Buffalo (band), an Australian hard rock group Buffalo (EP), by Buffalo Buffalo (Frank Zappa album) Buffalo (The Phoenix Foundation album) ""Buffalo"", a track from the album Cherry Bomb by Tyler, the Creator People Chief Buffalo (disambiguation) Norton Buffalo (1951–2009), American singer-songwriter and musician Ted Buffalo (1885–1969), Native American football player Tishynah Buffalo, Indigenous Canadian fashion designer Black Buffalo (wrestler) (born 1974), Japanese professional wrestler Schools University at Buffalo, a public research university in New York Buffalo State College, a public college in Buffalo, New York Sport Baseball Northern Territory Buffaloes, a defunct Australian baseball team Orix Buffaloes, a 2004–present Japanese baseball team Osaka Kintetsu Buffaloes, a 1950–2004 Japanese baseball team Buffalo Bisons, a professional minor league baseball team based in Buffalo, New York Football Buffalo Bills, a National Football League team Darwin Buffaloes, an Australian rules football team Green Buffaloes F.C., a Zambian football team K.A.A",O O O O O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O O O O B-ANIMAL O O O O B-ANIMAL O O O O O O B-ANIMAL O O B-ANIMAL B-ANIMAL O O O B-ANIMAL O O O O B-ANIMAL O O O O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O B-ANIMAL O O O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O B-ANIMAL O O O O O O O O O B-ANIMAL O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O O O O O O
"As these terrestrial plants are rather low in sodium, as much as half of its diet usually consists of aquatic plants, including lilies and pondweed, which while lower in energy content, provide the moose with its sodium requirements",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O
"Moose often show aggression to other animals as well, especially predators",B-ANIMAL O O O O O O O O O O
The Swedes fence their highways to reduce moose fatalities and design moose-proof cars,O O O O O O O B-ANIMAL O O O O O
"In some areas, moose are the primary source of food for wolves",O O O B-ANIMAL O O O O O O O O
"Moose also require access to mineral licks, safe places for calving and aquatic feeding sites",B-ANIMAL O O O O O O O O O O O O O O
The neotropical pygmy squirrel of tropical South America is the sole living member of the Sciurillinae,O O O B-ANIMAL O O O O O O O O O O O O
"This gradual process of successful interaction is called synurbanization, wherein squirrels lose their inherent fear of humans in an urban environment",O O O O O O O O O O B-ANIMAL O O O O O O O O O O
Some tropical squirrel species have shifted almost entirely to a diet of insects,O O B-ANIMAL O O O O O O O O O O
"Lifetime Squirrels live in almost every habitat, from tropical rainforest to semiarid desert, avoiding only the high polar regions and the driest of deserts",O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O
Morgart observed a white-tailed antelope squirrel capturing and eating a silky pocket mouse,O O O O O B-ANIMAL O O O O O O O
"The feces of otters are typically identified by their distinctive aroma, the smell of which has been described as ranging from freshly mown hay to putrefied fish; these are known as spraints",O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O
